tag,prioridade,palavras,resposta,pergunta_seguinte,encerrar
forma_pagamento,8,"formas de pagamento,como eu pago,como pago,como devo pagar,como pagar,forma de pagamento,forma de pagamentos,saber as formas de pagamento,formas de pagamentos,como posso pagar,aceita o que,aceita oq,aceita oque,formas de pagamento aceitas,formas de pagamento disponiveis,o que voces aceitam,o que vcs aceitam,quais sao as formas,meios de pagamento,opcoes de pagamento,posso pagar de que forma,meo de pagament,pagemento,fomas de pagamento,paguamento,pagto,tipos de pagamento,tipo de pagamento,meios aceitos,quais cartoes aceitam,formas de quitar,como posso pagar o pedido,opcoes de acerto,opção de pagamento,opção de acerto,quais formas de pagamento aceitam,quais formas de pagamento voces aceitam,quais formas de pagamento vocês aceitam","Aceitamos Pix com desconto, cartao de credito/debito Visa e Mastercard e dinheiro somente para retirada no local.",,
pix,9,"pix,picks,pagar no pix,pagamento pix,chave pix,chaves pix,chave pikisi,pikisi,piquisi,pagar with pix,fazer pix,transferencia pix,qual a chave pix,me passa a chave pix,me manda a chave pix,qr code pix,qr code,copia e cola pix,copia e cola,pagar via pix,pix instantaneo,aprovacao pix,quanto tempo o pix,pix aprova na hora,pics,pic,pixs,piz,piss,pich,pikz,xave pix,copiae-cola,qr-code,pagamento instantaneo,pagar por pix,chave aleatoria,copia e cola do pix,codigo do pix,gerar pix,cade meu pix,meu pix n chegou,oxente cade meu pix,gerar copia e cola",Temos pagamento via Pix com aprovacao rapida e 5% de desconto.,Deseja gerar a chave Pix para o pedido? (s/n),
credito,10,"credito,cartao de credito,pagar no credito,pagar com credito,cartao credito,no credito,com credito,passar no credito,credto,creidto,crdeto,cartao de creidto,cretido,credidto,pagar com cartao de credito,passa no credito,no cartao de credito,quero usar credito",Pagamento no credito disponivel em ate 12x sem juros.,"Qual a bandeira do cartao e quantidade de parcelas? (Ex: Visa, 3x)",
falha_retorno_pix,9,"meu pix nao chegou,pix nao caiu,pix nao chegou apos o estorno,pix devolvido nao chegou,estorno por pix e o pix nao chegou,estornei pelo pix e nao chegou,pix nao chega nunca?pix estornado e nao chega,estorno pix feito mas nao chegou,estorno por pix feito mas nao chegou,estorno por pix e o dinheiro nao voltou,estorno por pix e o valor nao voltou","Lamentamos o inconveniente. Por favor, entre em contato com nosso suporte para resolver o problema.",,
falha_retorno_cartao,10,"meu estorno no cartao nao chegou,estorno no cartao feito mas nao chegou,estorno no cartao e nao chegou,estorno por cartao feito mas nao chegou,estorno por cartao e o estorno nao chegou,estorno por cartao e o dinheiro nao voltou,estorno por cartao e o valor nao voltou","Lamentamos o inconveniente. Por favor, entre em contato com nosso suporte para resolver o problema.",,
falha_retorno_debito,10,"meu estorno no debito nao chegou,estorno no debito feito mas nao chegou,estorno no debito e nao chegou,estorno por debito feito mas nao chegou,estorno por debito e o estorno nao chegou,estorno por debito e o dinheiro nao voltou,estorno por debito e o valor nao voltou","Lamentamos o inconveniente. Por favor, entre em contato com nosso suporte para resolver o problema.",,
debito,10,"debito,cartao de debito,pagar no debito,pagar com debito,cartao debito,no debito,com debito,passar no debito,debto,debeto,devito,cartao de debto,pagar com cartao de debito,passa no debito,no cartao de debito,quero usar debito",Pagamento no debito disponivel nas bandeiras Visa e Mastercard.,Qual a bandeira do seu cartao de debito? (Ex: Visa),
parcela,11,"parcelar,parcela,parcelas,vezes,pagar em parcelas,dividir em parcelas,pagar em vezes,parcelamento,quantidade de parcelas,quantas vezes,quantas parcelas,em quantas vezes,tem parcelamento,posso parcelar,da pra parcelar,como parcelar,juros,sem juros,12x,12 vezes,parc_ela,vzs,parcelameno,parcelamento sem juros,dividir o valor,parcelado,quantas vezes divide,parcela em quanto,tem juros se parcelar",Parcelamento disponivel in ate 12x sem juros no credito.,"Qual a bandeira do cartao e quantidade de parcelas? (Ex: Visa, 3x)",
boleto,12,"boleto,boletu,boleto bancario,pagar boleto,pagar com boleto,gerar boleto,tem boleto,aceita boleto,quero pagar no boleto,posso pagar no boleto,pagamento por boleto,bolheto,boledo,baleto,boleto bancao,blet,gerar o boleto,codigo de barras,pagamento por boleto bancario,boleto em pdf,mandar boleto",Nao aceitamos boleto bancario. Voce pode pagar via Pix ou cartao.,,
pagamento_misto,12,"pagamento misto,misto,dois cartoes,dividir pagamento,pix e cartao,pagar com dois cartoes,pagar com pix e cartao,pix e debito,pix e credito,dividir em dois cartoes,pagar metade no pix,mais de um cartao,msto,paguamento misto,pagmento mixto,dividir em 2 cartoes,dividir em dois meios,metade pix metade cartao,pagar com duas formas,combinar pagamentos","No momento, nosso checkout nao suporta pagamento misto ou divisao em dois cartoes.",,
bandeiras,13,"bandeira,bandeiras,visa,master,mastercard,aceitam visa,aceitam mastercard,aceita elo,aceita hipercard,amex,american express,bandera,bandira,viza,mestre,mastercrd,eloo,ipercard,quais bandeiras,hipercard aceita,bandeira do cartao",Aceitamos Visa e Mastercard para pagamentos por cartao.,,
desconto,14,"cupom,quero saber as opções de desconto,cupom de desconto,desconto,voucher,promocao,descontos,opções de desconto,cupons,tem desconto,tem promocao,codigo de desconto,quero desconto,me da um desconto,oferta,liquidacao,sale,black friday,preco especial,disconto,descomto,pormocao,vauxer,cupom ativo,desconto na primeira compra,codigo promocional,ganhar desconto,algum cupom,opções desconto,tem cupom de desconto,cupom valido,cupom de desconto valido,cupom de desconto ativo,cupom de desconto disponível,tem algum cupom de desconto,quero um cupom de desconto,me dá um cupom de desconto,tem alguma promoção ativa,promoção ativa,desconto ativos",Promocao ativa: 5% de desconto para compras via Pix.,Deseja gerar a chave Pix agora? (s/n),
isencao_juros_multas,4,"vcs vao me cobrar juros por um erro do app,tira essa multa ai eu tentei pagar ontem,quero o estorno do juro que veio no boleto,por que cobrou taxa de atraso se o pix caiu no dia,cobraram juros indevido,multa indevida,juros indevido,taxa de atraso indevida,juros por erro do sistema,multa por erro do app,nao quero pagar multa,isencao de juros,isencao de multa,tirar juros,remover multa,estornar juros,estornar multa,remover juros,tirar multa,cancelar multa de atraso,nao quero pagar juros,taxa de atraso injusta,reclamar de juros,cobraram multa errado,estorno por pix e o valor nao voltou","Se o atraso no pagamento ocorreu por instabilidade do nosso sistema, podemos abrir uma analise para contestacao e isencao de juros ou multas.",Deseja que eu abra uma solicitacao de analise de juros agora? (s/n),
emprestimo,5,"quero fazer um emprestimo,como fazer emprestimos,emprestimo,emprestimos,preciso de um emprestimo,quero realizar um emprestimo","No momento, nao oferecemos servicos de emprestimo ou credito pessoal.",,
negociacao_divida,5,"estou inadimplente com vcs,quero limpar meu nome,como faco pra parcelar minha divida,tem alguma pendencia financeira no meu cpf,tenho divida com voces,meu nome esta sujo,nome negativado,negociar divida,acordo de pagamento,parcelar debito,regularizar pendencia,pendencia financeira,restricao no cpf,divida em aberto,boleto atrasado,quero fazer acordo,renegociar divida,acordo financeiro,quitar meus debitos,nome no serasa,parcelamento de divida,tenho restricao no nome,como pagar o que devo,fazer um acordo","Para regularizar pendencias financeiras, consultar restricoes ou realizar um acordo de parcelamento de debito, vou te direcionar para o setor de cobranca.",Deseja falar com o setor de acordos e negociacao agora? (s/n),
status_pagamento,15,"status do pagamento,situacao do pagamento,situacao do pagto,pagamento pendente,pagamento em analise,pagamento aprovado,pagamento confirmado,pedido aprovado,pedido pendente,compra aprovada,compra pendente,meu pagamento aprovou,meu pagamento foi aprovado,pagamento ta em analise,pagamento em análise,ta pendente,ta em analise,foi aprovado,aprovou ou nao,status pagto,pagamento parado,pedido parado,ja confirmou o pagamento,saber se foi aprovado,minha compra ja aprovou,verificar status de pagamento,onde vejo se o pagamento caiu","Para status financeiro, confira primeiro a area Meus Pedidos. Pix costuma aprovar em poucos minutos; cartao pode ficar em analise antifraude antes da confirmacao.","Se o banco ja aprovou e a FashionFlow ainda nao reconheceu, deseja falar com o Financeiro? (s/n)",
link_pagamento,8,"link de pagamento,perdi o link,manda o link de pagamento,reenviar link,link expirou,checkout expirou,pix expirou,qr code expirou,gerar novo pix,gerar novo qr code,novo link de pagamento,segunda via do pagamento,segunda via,2 via,2a via,refazer pagamento,pagar de novo,nao consigo abrir o checkout,checkout nao abre,mande o link de novo,link seguro,gerar link,link do checkout,url de pagamento",Posso orientar a gerar uma nova tentativa de pagamento pelo checkout seguro. Nunca pague por chave enviada fora dos canais oficiais da FashionFlow.,Deseja receber orientacao para gerar um novo pagamento seguro? (s/n),
extrato_historico,6,"me passa tudo q vcs me cobraram desde o inicio ai,quero ver meu historico de compras,manda o meu extrato financeiro da conta,quero a lista de tudo que ja paguei aqui,quero meu extrato financeiro,quero meu extrato,extrato,extratos,extrato financeiro,historico financeiro,historico de pagamentos,historico de transacoes,lista de compras,lista de pagamentos,relatorio financeiro,relatorio de compras,tudo que paguei,todas as cobrancas,minhas transacoes,ver meu historico financeiro,puxar extrato,puxa meu historico ai,relatorio de gastos,comprovantes de pagamento,onde vejo o extrato,extrato de cobrancas,meu historico","Para consultar seu extrato ou historico completo de transacoes, voce pode acessar a aba Minha Conta ou solicitar o relatorio detalhado.",,
alterar_vencimento,8,"consigo mudar o dia do vencimento,quero que o boleto venca todo dia 10,tem como alterar a data de pagamento da assinatura,quero pagar depois altera o vencimento ai,mudar vencimento,alterar vencimento,trocar data de vencimento,mudar data de pagamento,alterar data de pagamento,vencimento da assinatura,boleto vencer dia 10,boleto todo dia 10,prorrogar vencimento,pagar depois,adiar vencimento,mudar data do boleto,alterar dia de vencimento,mudar vencimento da fatura,trocar dia do pagamento,alterar data de vencimento,mudar dia que vence,mudar o dia da cobranca",A alteracao da data de vencimento de faturas ou assinaturas recorrentes pode ser feita uma vez a cada ciclo diretamente no painel de controle da sua conta.,,
atualizar_metodo_pagamento,8,"quero trocar o cartao de credito da assinatura,como mudo a minha conta principal de pagamento,meu cartao venceu onde coloco o novo,remover cartao salvo da conta,trocar cartao salvo,atualizar cartao,cartao vencido,cartao expirou,adicionar novo cartao,incluir cartao,excluir cartao,apagar cartao,mudar forma de pagamento da assinatura,alterar pagamento da assinatura,cartao da assinatura,atualizar cartao de credito,cadastrar novo cartao,mudar forma de pagamento,alterar cartao da assinatura,inserir novo cartao,mudar cartao principal","Para sua seguranca, a atualizacao, inclusao ou remocao de cartoes de credito salvos deve ser feita exclusivamente por voce na aba Formas de Pagamento do seu perfil.",,
dados_bancarios_empresa,3,"me passa o cnpj de vcs pra eu fazer o pix direto,qual e a conta bancaria da fashionflow,posso fazer ted me da os dados da conta,passa a chave pix cnpj da empresa,dados bancarios da empresa,conta bancaria da loja,cnpj para pix,chave pix da empresa,pix direto para empresa,fazer ted,fazer transferencia manual,transferencia bancaria,deposito em conta,me passa a conta,qual banco de voces,qual o banco de voces,qual o banco de vcs,qual e o cnpj,agencia e conta da loja,chave pix da loja,dados para transferencia,passa a conta juridica,transferir direto para vcs",Nao realizamos recebimentos por transferencia manual direta ou TED. Os pagamentos seguros devem ser feitos apenas via QR Code Pix ou Copia e Cola gerados no checkout.,Deseja que eu te oriente a gerar o codigo Pix oficial do seu pedido? (s/n),
dinheiro,17,"dinheiro,especie,pagar com dinheiro,pagar no dinheiro,dineiro,dindin,pataco,grana,cash,troco,aceita dinheiro,cedola,spece,pagar em notas,pagamento em papel,dinheiro vivo,aceita especie,pagar na retirada,pagar quando retirar,pagar na hora de retirar",Aceitamos dinheiro somente para retirada no local.,,
fluxo_vago,16,"quanto ficou,qnt ficou,qt ficou,e agora,oq eu faco agora,o que eu faco agora,o de ontem,aquele de ontem,aquela cobranca la,aquela cobranca,aquela fatura,aquele pagamento,manda de novo,repete,fala de novo,nao entendi,como assim,qual deles,nao sei qual escolher,qual opcao,o que houve,me ajuda ai,o que faço,nao sei o que dizer,e depois,qual o proximo passo,e agr","Para eu nao chutar em assunto financeiro, preciso de um pouco mais de contexto. Posso ajudar com: 1) cobranca incorreta, 2) pagamento nao reconhecido, 3) pagamento que nao constou, 4) reembolso, 5) nota fiscal, 6) formas de pagamento, 7) extrato, 8) status do pagamento ou 9) negociacao de divida.",,
elogios,17,"gostei,adorei,amei,maravilhoso,otimo,perfeito,excelente,nota 10,nota dez,incrivel,sensacional,top,muito bom,show,daora,da hora,legal,maneiro,bacana,parabens,otimo atendimento,excelente atendimento,topzera,semsacional,amei o bot,muito rapido,atendimento excelente,nota mil,voces sao feras,ajudou muito,perfeito o atendimento",Que bom saber disso. Fico feliz em ajudar no que for do Financeiro.,Quer consultar mais algum assunto financeiro?,
agradecimento,18,"obrigado,obrigada,valeu,grato,obrigadao,obgdo,obgda,grata,obg,mt obg,muito obrigado,muito obrigada,thanks,thank you,agradeco,brigado,thnx,vlw,valew,valeuu,tankiu,gratidao,tmj,tmjj,agradecido,muitissimo obrigado,valeu mesmo,brigadao,brigadaco,obrigadissima,obrigadissimo","Disponha. Se precisar, sigo por aqui para qualquer assunto financeiro.",Posso ajudar com mais alguma coisa?,
saudacao,19,"oi,ola,bom dia,boa tarde,boa noite,tudo bem,como vai,eae,salve,fala,hey,hi,hello,oie,ei,opa,alo,e ai,iae,iaee,iaeee,oioi,oii,oiii,oiiii,oiiiii,oiiiiii,boas,posso perguntar,pode me ajudar,me ajuda,preciso de ajuda,socorro,uai,slv,aloo,opa tudo bem,oopa,ola financeiro,bom dia financeiro,boa tarde financeiro,boa noite financeiro,queria falar com o financeiro","Ola! Voce esta falando com o atendimento financeiro da FashionFlow. Posso ajudar com cobranca, pagamento, reembolso, nota fiscal, Pix ou cartao.",,
atendimento_humano,20,"atendente,humano,pessoa,falar com alguem,quero falar com atendente,me passa pra um humano,suporte humano,atendimento humano,nao quero falar com robo,me transfere,quero ser transferido,quero ser transferida,hmano,presona,algem,supote,trasfere,falar com suporte,chamar especialista,me passa para uma pessoa de verdade,atendente real,quero falar com um ser humano",Sem problemas. Vou te conectar com um atendente humano do Financeiro.,Deseja entrar na fila do atendimento humano agora? (s/n),
reclamacoes,21,"nao gostei,odiei,pessimo,ruim,nota 0,nota zero,horrivel,terrivel,que droga,ridiculo,absurdo,uma vergonha,lamentavel,decepcionante,fui mal atendido,fui mal atendida,que raiva,bosta,prr,porra,cabrunco,cabruncao,lixoso,fudido,fufida,estrume,insatisfeito,frustrado,lixo,frustado,raiba,pessimo sistema,estou indignado,estou indignada,atendimento ruim,sistema horrivel,que absurdo,vou reclamar",Sinto muito pela experiencia. Vou tentar encaminhar isso do jeito certo.,Deseja falar com um atendente humano para resolvermos o caso? (s/n),
duvidas_gerais,30,"duvida,pergunta,tenho uma duvida,queria perguntar,queria tirar uma duvida,to com duvida,fiquei com duvida,pode explicar,me explica,como funciona,nao sei,duvda,djvida,prgunta,perguta,nao intendi,clmo funciona,preciso tirar uma duvida,me tira uma duvida,uma pergunta rapida,pode me esclarecer","Claro. Para eu te orientar melhor no Financeiro, diga se o assunto e cobranca, pagamento, reembolso, nota fiscal, Pix ou cartao.",,
